tier,step,rows_in,rows_out,ts
agg,364.0,254080.0,252.0,2026/01/16-22:16:09.033
agg,365.0,259600.0,258.0,2026/01/16-22:16:09.055
agg,366.0,177380.0,175.0,2026/01/16-22:16:09.071
agg,367.0,177640.0,175.0,2026/01/16-22:16:09.087
agg,368.0,177500.0,175.0,2026/01/16-22:16:10.002
agg,369.0,178380.0,176.0,2026/01/16-22:16:10.014
agg,370.0,178700.0,177.0,2026/01/16-22:16:10.031
agg,371.0,177810.0,175.0,2026/01/16-22:16:10.046
agg,372.0,177440.0,175.0,2026/01/16-22:16:10.062
agg,373.0,177580.0,175.0,2026/01/16-22:16:10.076
agg,374.0,177620.0,175.0,2026/01/16-22:16:10.092
agg,375.0,253830.0,251.0,2026/01/16-22:16:11.011
agg,376.0,259399.0,258.0,2026/01/16-22:16:11.038
agg,377.0,177040.0,174.0,2026/01/16-22:16:11.055
agg,378.0,178870.0,177.0,2026/01/16-22:16:11.069
agg,379.0,177810.0,177.0,2026/01/16-22:16:11.085
agg,380.0,177690.0,176.0,2026/01/16-22:16:12.000
agg,381.0,177420.0,175.0,2026/01/16-22:16:12.016
agg,382.0,178450.0,177.0,2026/01/16-22:16:12.029
agg,383.0,177800.0,176.0,2026/01/16-22:16:12.045
agg,384.0,178130.0,177.0,2026/01/16-22:16:12.061
agg,385.0,178480.0,177.0,2026/01/16-22:16:12.074
agg,386.0,253100.0,251.0,2026/01/16-22:16:13.000
agg,387.0,259710.0,258.0,2026/01/16-22:16:13.022
agg,388.0,177290.0,175.0,2026/01/16-22:16:13.037
agg,389.0,178280.0,176.0,2026/01/16-22:16:13.050
agg,390.0,177680.0,175.0,2026/01/16-22:16:13.065
agg,391.0,177470.0,175.0,2026/01/16-22:16:13.081
agg,392.0,177630.0,175.0,2026/01/16-22:16:13.096
agg,393.0,177580.0,175.0,2026/01/16-22:16:14.011
agg,394.0,177780.0,175.0,2026/01/16-22:16:14.026
agg,395.0,177920.0,176.0,2026/01/16-22:16:14.041
agg,396.0,177530.0,175.0,2026/01/16-22:16:14.056
agg,397.0,252910.0,250.0,2026/01/16-22:16:14.081
agg,398.0,259230.0,258.0,2026/01/16-22:16:15.006
agg,399.0,177200.0,175.0,2026/01/16-22:16:15.021
agg,400.0,178440.0,176.0,2026/01/16-22:16:15.033
agg,401.0,178930.0,178.0,2026/01/16-22:16:15.049
agg,402.0,177830.0,176.0,2026/01/16-22:16:15.064
agg,403.0,177770.0,176.0,2026/01/16-22:16:15.080
agg,404.0,178530.0,176.0,2026/01/16-22:16:15.092
agg,405.0,178080.0,176.0,2026/01/16-22:16:16.008
agg,406.0,177580.0,176.0,2026/01/16-22:16:16.023
agg,407.0,177710.0,176.0,2026/01/16-22:16:16.038
agg,408.0,254210.0,253.0,2026/01/16-22:16:16.056
agg,409.0,259609.0,257.0,2026/01/16-22:16:16.085
agg,410.0,177350.0,176.0,2026/01/16-22:16:17.000
agg,411.0,178300.0,176.0,2026/01/16-22:16:17.015
agg,412.0,178370.0,176.0,2026/01/16-22:16:17.029
agg,413.0,178460.0,176.0,2026/01/16-22:16:17.042
